201,Jersey City	
202,District of Columbia
203,Connecticut	Waterbury-New Haven-Bridgeport-Stamfor
204,Manitoba
205,Alabama	Montgomery-Selma-Jackson
206,Washington	Seattle
207,Maine	
208,Idaho
209,California	Stockton-Merced
210,Texas	San Antonio	
212,New York	New York
213,California	Los Angeles
214,Texas	Dallas
215,Pennsylvania	Philadelphia
216,Ohio	Cleveland
217,Illinois	Springfield-Decatur-Champaign
218,Minnesota	Duluth-Brainerd-Grand Rapids-International Falls
219,Indiana	Fort Wayne-South Bend-Gary
225,Louisiana	Baton Rouge-New Roads
228,Mississippi	Gulfport-Pascagoula
229,Georgia	Albany-Americus-Bainbridge-Valdosta
231,Michigan	Traverse City-Muskegon-Ludington
234,Ohio	Akron-Canton-Youngstown
240,Maryland	Frederick-Hagerstown-Cumberland
242,The Bahamas			
246,Barbados		
248,Michigan	Troy
250,British Columbia	non-Vancouver area
252,rth Carolina	Greenville-Kitty Hawk
253,Washington	Tacoma
254,Texas	Waco-Killeen
256,Alabama	Huntsville
262,Wisconsin	Racine-West Bend
264,Anguilla		
267,Pennsylvania	Philadelphia
268,Antigua and Barbuda		
270,Kentucky	Paducah-Bowling Green-Owensboro
281,Texas	Houston
284,British Virgin Islands
301,Maryland	Frederick-Hagerstown-Cumberland			
302,Delaware				
303,Colorado	Denver-Boulder			
304,West Virginia				
305,Florida	Miami-Key West			
306,Saskatchewan				
307,Wyoming				
308,Nebraska	Scottsbluff-North Platte
309,Illinois	Moline-Peoria
310,California	West Los Angeles-Torrance-Malibu
312,Illinois	Chicago			
313,Michigan	Detroit			
314,Missouri	Saint Louis			
315,New York	Syracuse-Utica-Watertown			
316,Kansas	Wichita-Parsons-Great Bend			
317,Indiana	Indianapolis			
318,Louisiana	Shreveport-Monroe-Alexandria
319,Iowa	Dubuque-Davenport-Iowa City-Burlington			
320,Minnesota	Saint Cloud-Morris-Hutchinson
321,Florida	Orlando
323,California	Los Angeles
330,Ohio	Akron-Canton-Youngstow
334,Alabama	Birmingham-Tuscaloosa
336,North Carolina	Winston Salem
337,Louisiana	Lafayette-Lake Charles
340,Virgin Islands		
345,Cayman Islands	
347,New York	Bronx-Queens-Brooklyn-Staten Island
352,Florida	Gainesville-Ocala
360,Washington	Olympia-Bellingham-Aberdeen
361,Texas	Corpus Christi-Victoria
385,Utah	Provo-Ogden	
401,Rhode Island				
402,Nebraska	Omaha-Lincoln			
403,Alberta	Calgary-southern portion			
404,Georgia	Atlanta			
405,Oklahoma	Oklahoma City-Edmond			
406,Montana				
407,Florida	Orlando
408,California	San Jose-Sunnyvale-Los Gatos
409,Texas	Beaumont-Galveston
410,Maryland	Baltimore-Cambridge
412,Pennsylvania	Pittsburgh			
413,Massachusetts	Springfield-Pittsfield			
414,Wisconsin	Milwaukee			
415,California	San Francisco-Novato-San Rafael			
416,Ontario	Toronto			
417,Missouri	Springfield-Joplin			
418,Quebec	Quebec			
419,Ohio	Toledo-Sandusky-Bowling Green			
423,Tennessee	Chattanooga-Sweetwater-Bristol
425,Washington	Seattle area
435,Utah	Logan-Blanding-Richfield
440,Ohio	Ashtabula-Elyria
441,Bermuda	
443,Maryland	Baltimore-Cambridge
450,Quebec	Laval
469,Texas	Dallas-Plano
473,Grenada		
478,Georgia	Macon-Warner Robins-Swainsboro
480,Arizona	eastern Phoenix area-Chandler
484,Pennsylvania	Allentown-Reading
501,Arkansas	Little Rock-Fayetteville-Hot Springs			
502,Kentucky	Louisville-Frankfort			
503,Oregon	Portland-Salem-Tillamoon-Astoria			
504,Louisiana	New Orleans-Houma			
505,New Mexico				
506,New Brunswick	
507,Minnesota	Rochester-Mankato-Marshall-Worthington
508,Massachusetts	Worcester-Attleboro-New Bedford-Hyannis
509,Washington	Spokane-Yakima-Walla Walla
510,California	Oakland-Hayward
512,Texas	Austin			
513,Ohio	Cincinnati-Middletown			
514,Quebec	Montreal			
515,Iowa	Des Moines-Fort Dodge			
516,New York	Elmont			
517,Michigan	Lansing-Jackson-Alpena			
518,New York	Albany-Saranac Lake-Plattsburgh			
519,Ontario	Windsor-London
520,Arizona	non-Phoenix areas
530,California	Redding-Chico-Alturas
540,Virginia	Roanoke-Harrisonburg-Fredricksburg-Winchester
541,Oregon	Eugene-Bend-Medford-Burns
559,California	Fresno
561,Florida	West Palm Beach-Boca Raton
562,California	Long Beach
570,Pennsylvania	Scranton-Williamsport
571,Virginia	Alexandria
573,Missouri	Jefferson City-Hannibal
580,Oklahoma	Enid-Woodward-Lawton
601,Mississippi	Jackson-Mc Comb			
602,Arizona	Phoenix			
603,New Hampshire				
604,British Columbia	Vancouver area			
605,South Dakota				
606,Kentucky	London-Morehead-Pikeville
607,New York	Elmira-Binghamton
608,Wisconsin	Madison-La Crosse
609,New Jersey	Trenton-Atlantic City-Brown Mills
610,Pennsylvania	Allentown-Reading
612,Minnesota	Minneapolis			
613,Ontario	Ottawa			
614,Ohio	Columbus			
615,Tennessee	Nashville
616,Michigan	Kalamazoo-Grand Rapids			
617,Massachusetts	Boston			
618,Illinois	Mount Vernon-Carbondale			
619,California	San Diego
623,Arizona	western Phoenix area-Peoria-Buckeye
626,California	Pasadena
630,Illinois	Aurora
631,New York	eastern Long Island
636,Missouri	Union-Chesterfield
641,Iowa	Mason City-Creston
646,New York	New York
647,Ontario	Toronto	
649,Turks and Caicos Islands	
650,California	Palo Alto-San Mateo
651,Minnesota	Saint Paul-Lindstrom-Red Wing
660,Missouri	Macon-Marshall-Sedalia
661,California	Bakersfield
662,Mississippi	Tupelo-Columbus-Greenville
664,Montserrat		
670,Northern Mariana Islands
671,Guam		
678,Georgia	Atlanta
682,Texas	Fort Worth
701,North Dakota				
702,Nevada	Las Vegas			
703,Virginia	Alexandria			
704,North Carolina	Charlotte-Kingstown			
705,Ontario	Sudbury-Sault Ste Marie
706,Georgia	Athens-Augusta-Toccoa-Dalton-Rome
707,California	Santa Rosa-Ukiah-Eureka
708,Illinois	Chicago Heights
709,Newfoundland	
712,Iowa	Sioux City-Council Bluffs			
713,Texas	Houston			
714,California	Orange-Huntington Beach			
715,Wisconsin	Wausau-Eau Claire			
716,New York	Buffalo-Rochester-Jamestown			
717,Pennsylvania	Harrisburg-Gettysburg			
718,New York	Bronx-Queens-Brooklyn-Staten Island
719,Colorado	Colorado Springs-Pueblo
720,Colorado	Denver-Boulder
724,Pennsylvania	New Castle-Uniontown
727,Florida	Clearwater
732,New Jersey	Lakewood-New Brunswick-Neptune
734,Michigan	Ann Arbor
740,Ohio	Cambridge-Jackson-Lancaster-Marietta
757,Virginia	Norfolk
758,Saint Lucia		
760,California	Indio-Ridgecrest-Bishop-Blythe
763,Minnesota	Maple Grove
765,Indiana	Lafayette-Marion-Muncie-Richmond
767,Dominica		
770,Georgia	Roswell-Marietta-Cedartown-Griffin
773,Illinois	Chicago
775,Nevada	Reno-Carson City-Elko-Ely-Tonopah
780,Alberta	Edmonton-northern portion
781,Massachusetts	Norwood-Weymouth-Saugus
784,Saint Vincent and the Grenadines		
